"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 10, 2019","1.53","1.64","1.64","1.50","34.07M","-6.71%"
"Oct 09, 2019","1.64","1.75","1.76","1.57","35.98M","-3.53%"
"Oct 08, 2019","1.70","1.73","1.80","1.66","47.25M","9.68%"
"Oct 07, 2019","1.55","1.58","1.59","1.45","26.93M","-4.32%"
"Oct 04, 2019","1.62","1.60","1.69","1.56","25.31M","-1.22%"
"Oct 03, 2019","1.64","1.59","1.70","1.43","58.72M","3.14%"
"Oct 02, 2019","1.59","1.19","1.65","1.19","99.49M","20.45%"
"Oct 01, 2019","1.32","1.51","1.51","1.22","88.30M","-15.38%"
"Sep 30, 2019","1.56","1.72","1.73","1.53","58.97M","-10.86%"
"Sep 27, 2019","1.75","1.94","2.00","1.71","59.98M","-10.71%"
"Sep 26, 2019","1.96","2.05","2.06","1.90","52.90M","-4.39%"
"Sep 25, 2019","2.05","2.15","2.15","2.02","39.27M","-5.53%"
"Sep 24, 2019","2.17","2.22","2.24","1.97","122.30M","-20.22%"
"Sep 23, 2019","2.72","2.98","2.98","2.71","40.59M","-10.53%"
"Sep 20, 2019","3.04","3.14","3.16","3.02","12.05M","-1.94%"
"Sep 19, 2019","3.10","3.12","3.16","3.08","8.84M","0.65%"
"Sep 18, 2019","3.08","3.21","3.21","3.03","12.58M","-3.14%"
"Sep 17, 2019","3.18","3.11","3.18","3.00","13.01M","1.92%"
"Sep 16, 2019","3.12","3.15","3.21","3.09","12.37M","-2.80%"
"Sep 13, 2019","3.21","3.22","3.27","3.15","8.37M","0.63%"
"Sep 12, 2019","3.19","3.24","3.27","3.10","10.96M","-2.45%"
"Sep 11, 2019","3.27","3.28","3.33","3.16","13.62M","-1.51%"
"Sep 10, 2019","3.32","3.13","3.33","3.07","20.85M","5.73%"
"Sep 09, 2019","3.14","3.00","3.14","2.93","17.39M","5.37%"
"Sep 06, 2019","2.98","2.99","3.00","2.87","14.51M","1.02%"
"Sep 05, 2019","2.95","2.81","3.00","2.80","23.27M","7.27%"
"Sep 04, 2019","2.75","2.70","2.75","2.64","15.21M","5.77%"
"Sep 03, 2019","2.60","2.82","2.83","2.58","26.90M","-9.09%"
"Aug 30, 2019","2.86","2.90","2.91","2.84","8.16M","0.35%"
"Aug 29, 2019","2.85","2.91","2.93","2.85","12.38M","0.35%"
"Aug 28, 2019","2.84","2.90","2.92","2.83","10.49M","-2.41%"
"Aug 27, 2019","2.91","2.92","3.00","2.83","20.42M","0.34%"
"Aug 26, 2019","2.90","2.95","2.95","2.83","14.14M","-0.68%"
"Aug 23, 2019","2.92","2.97","3.04","2.88","13.65M","-3.31%"
"Aug 22, 2019","3.02","3.06","3.09","3.01","12.43M","-0.98%"
"Aug 21, 2019","3.05","3.23","3.27","3.02","21.52M","-3.48%"
"Aug 20, 2019","3.16","3.06","3.21","3.00","16.70M","5.33%"
"Aug 19, 2019","3.00","3.00","3.10","3.00","13.66M","1.69%"
"Aug 16, 2019","2.95","2.89","3.01","2.86","15.88M","4.61%"
"Aug 15, 2019","2.82","2.99","2.99","2.77","15.74M","-2.76%"
"Aug 14, 2019","2.90","3.08","3.08","2.88","28.21M","-7.94%"
"Aug 13, 2019","3.15","3.00","3.20","3.00","18.61M","3.28%"
"Aug 12, 2019","3.05","3.05","3.11","2.96","14.21M","-2.56%"
"Aug 09, 2019","3.13","3.10","3.18","3.10","10.61M","-1.26%"
"Aug 08, 2019","3.17","3.13","3.26","3.11","21.00M","2.59%"
"Aug 07, 2019","3.09","3.04","3.09","2.93","18.09M","0.32%"
"Aug 06, 2019","3.08","3.09","3.14","3.00","23.46M","4.41%"
"Aug 05, 2019","2.95","3.14","3.14","2.85","38.74M","-9.79%"
"Aug 02, 2019","3.27","3.21","3.33","3.16","17.21M","-0.30%"
"Aug 01, 2019","3.28","3.45","3.51","3.20","28.76M","-5.48%"
"Jul 31, 2019","3.47","3.38","3.53","3.36","19.92M","2.66%"
"Jul 30, 2019","3.38","3.43","3.44","3.35","14.13M","-2.31%"
